"gamma_g","t_peak","gamma_d","CO2_0","N2O_0","thermal_s0","greenland_v0","glaciers_v0","glaciers_s0","antarctic_s0","Q10","CO2_fertilization","CO2_diffusivity","heat_diffusivity","rf_scale_aerosol","climate_sensitivity","thermal_alpha","greenland_a","greenland_b","greenland_alpha","greenland_beta","glaciers_beta0","glaciers_n","anto_alpha","anto_beta","antarctic_gamma","antarctic_alpha","antarctic_mu","antarctic_nu","antarctic_precip0","antarctic_kappa","antarctic_flow0","antarctic_runoff_height0","antarctic_c","antarctic_bed_height0","antarctic_slope","antarctic_lambda","antarctic_temp_threshold"
0.006,2030.0,0.15,280.70533871522457,274.5622642937931,0.022700474042278297,7.465228942090485,0.48891085102319853,-0.03238285796467002,0.04087957038690454,1.1500508377897822,0.5016213041862102,15.9054945671628,2.4907197140521724,1.3259726078622416,3.564747597156529,0.18321001592842248,-3.741257852703183,8.637588096159362,0.0002482282164620326,2.5891974590869484e-5,0.0009097993908458636,0.8856816815161986,0.0026942035809254233,1.4117609757174068,3.7565248338410404,0.05681815838535568,11.001173494960597,0.008042278701485895,1.4274135686700782,0.05756412486179343,1.5868871170538064,963.5242620919504,94.08405013575688,816.3655507577294,0.0007183024958727762,0.01849983825314285,-15.368459193326462
0.006,2030.0,0.15,280.7431144161695,281.6582877399607,0.013193798951587288,7.2497616977977755,0.3439984248145376,-0.02464558338382807,0.0517484055626631,1.0847105203685188,0.2912608289593377,148.59562681767227,1.8107737528156367,0.7763929176560628,1.8975910449671833,0.23980594153557316,-1.4820257064802094,7.842781327112297,0.0006266925953228045,0.0001676325749703542,0.0009059081164932016,0.8628020715192586,0.17732083239794838,1.4067245913875044,2.7145399741398766,0.05208323832942346,8.226270383186975,0.013126763910238348,1.288660071373107,0.0676238223565895,0.9742340463273669,1169.6528042876787,76.68161354563817,781.2229229569887,0.0007287878708003539,0.006969256564978231,-15.232859073598386
0.006,2030.0,0.15,280.58384773827515,276.6417902635244,0.03320083203273762,7.4346550465366015,0.4529550930411486,0.06487812675077695,-0.01671705352368777,1.0153225024367019,0.3653450374060735,29.935143118076503,5.474657001223918,1.1011685935510234,4.074122537500602,0.12978702529578115,-1.9962002709777655,8.26281645804316,0.00046681280984305957,1.643444325806059e-5,0.0009862824442688032,0.778852492513276,0.19650872365678518,1.2177158887388095,4.159665054232302,0.0005511979694263107,8.240430995452924,0.010705161841520618,0.6829988742767392,0.07478233032641879,1.4911713817138323,1809.608895448191,103.64119891709537,750.3728400381049,0.0005808366259259989,0.011780936679290874,-15.44513995241712
0.006,2030.0,0.15,278.6320200849844,265.24562406498785,-0.0035007973746211366,7.349131772656759,0.31633621338112977,-0.03355579628534804,-0.04602743224588378,3.3869997543000827,0.7480185068324815,16.346521479756895,4.171451923038333,1.3429957841262121,4.560236747109884,0.16311020280564165,-2.3092034959513055,8.147530974067097,0.000456688815698022,0.00013375172053731356,0.0009643760631585318,0.8701300784074125,0.022751950270371024,0.8650059217520188,4.052294697246784,0.11085221304463572,9.7162892737118,0.005264722954983444,1.410309153822144,0.06302791938358894,1.4487894172050853,846.3828887885165,94.7824701797329,792.6672253479701,0.0007067009323115795,0.00862849172733636,-15.017208242044443
0.006,2030.0,0.15,280.8247380914379,265.0189881847555,0.023037405456204193,7.20057734941134,0.4118347067418146,-0.04333431569890423,0.04101956657313956,1.2793141757395983,0.5874887029531661,18.114936826652976,2.8294294641215028,1.0178254920710035,2.9858066835874535,0.17638345001872657,-1.9246188749943702,8.081430917766031,0.0005343020311679664,8.270373189930414e-5,0.0006968328762775822,0.8674848278384825,0.051434687638586676,0.08445218605546785,2.99348815409833,0.4652248093780444,7.5014141183749405,0.011841520076364406,1.0634951064430047,0.0824486715205813,1.16308766060603,977.5197930567712,105.74830224082726,755.5577494101858,0.0006683005586824576,0.009987721151651474,-15.316004995329116
0.006,2030.0,0.15,280.2060436488808,274.0251835204702,-0.011767836168007105,7.3515989122829,0.5125338795365894,-0.044014135471235734,0.0529093603837585,1.0054840916175567,0.5772703237229581,9.162805300988849,4.193969581376095,1.2867742256706625,3.7320661325501354,0.15664556369568255,-1.3923640919328122,7.85343565630527,0.0009683245342139938,0.00012474208604494169,0.0008592034046355214,0.9237244001119252,0.022947614058326005,0.6608862075070597,4.161028341295686,0.07135644442503862,10.221491624422711,0.005887198841128246,1.3069472494489958,0.05197825273616306,1.2412432668095157,1906.8181504872496,140.48554806056495,778.2224198453988,0.0007427013719762556,0.010965089382047747,-14.864359041038824
0.006,2030.0,0.15,279.83284224450347,276.2948239968917,0.01876021772346022,7.365385952188237,0.4278080883084557,0.05261535138513427,-0.04324064253312838,1.394336545450176,0.5893465150605366,12.513188114713689,1.3977852701881206,1.074270582304405,2.2401505009568874,0.18605002449743105,-2.5913614864637875,8.539036988087332,0.0006329872122167084,6.4183570030609705e-6,0.001070128380297571,0.7441812786289201,0.32083132320844315,1.3883783206230114,1.3566171007671413,0.011160320845762609,12.021813066242052,0.01209586617302425,0.31988406052038043,0.07342123430292012,0.6967818925149081,1196.2201897824011,124.4889902828486,799.2671023247455,0.0006147839026948033,0.007985766169804412,-15.272353609249729
0.006,2030.0,0.15,278.8689996001532,265.5796937177825,0.008875150318935219,7.317422752206123,0.5225756736795075,0.025337748603801075,-0.008211228816546259,1.6211016551019461,0.528705599682963,16.82834670564128,2.153078769144606,0.9345529979894385,2.200634013961711,0.19796247708400977,-0.7316986621231011,7.592893794886646,0.0007118392074446423,0.0005672954143496709,0.0008015399149516399,0.6605860416964257,0.04731934068460804,0.926607681839435,4.030942117387342,0.04157938009137881,8.866375193216717,0.011688800887379927,1.2546581638897754,0.08428219785073485,0.7386530520091428,1179.8550327989692,131.96747925190186,757.6198653432238,0.0007196765374256634,0.010927127764817341,-15.478876529895548
0.006,2030.0,0.15,280.8854867669731,272.63992348912274,-0.017868696374563654,7.5357621995924315,0.4743104776888927,0.013675279843213622,0.041477778382699296,1.4379545759904675,0.38940555066399907,49.04310702203104,3.407004834353175,1.2567532502616026,3.1931133315368796,0.1489212596676409,-1.4871151161129308,7.999447822888033,0.0008292695190832846,5.785126265170867e-5,0.0010071803722184816,0.5926032138932642,0.17113365226583216,1.049441859645141,1.5454752476291418,0.5505209521813531,7.149479492979192,0.0072528944673449485,0.3469091883949735,0.06262405076993861,1.056317677653951,1679.5301883955387,86.62475883541482,788.2895495281963,0.000569738420035383,0.012509015945751715,-15.56464982329107
0.006,2030.0,0.15,280.95620568095313,274.3774781921323,0.0010132082077433744,7.298222765943301,0.38044770928710797,0.002735774905228809,0.0017628912650240142,1.1256114785086857,0.5606525782028076,12.1003990742952,3.0719898106558574,0.9805658783507984,2.493948696900941,0.12982497305997115,-1.6242247657699984,7.9851568241604225,0.0009715087194621431,7.3333703056221365e-6,0.0008225974851399733,0.6693410163726838,0.10995909411609839,0.9445252535198594,2.7527339969885785,0.07289418089077906,9.677034723068102,0.007293658023778576,0.6832562011697036,0.08092614131567108,1.1178022787156456,930.014759607003,124.68876078460318,818.8424741317806,0.0006323157728496348,0.022849193404218215,-14.997289436668764
