"feature_name","mean_2050","mean_2055","mean_2060","mean_2065","mean_2070","mean_2075","mean_2080","mean_2085","mean_2090","mean_2095","mean_2100","mean_2105","mean_2110","mean_2115","mean_2120","mean_2125","mean_2130","mean_2135","mean_2140","mean_2145","mean_2150","mean_2155","mean_2160","mean_2165","mean_2170","mean_2175","mean_2180","mean_2185","mean_2190","mean_2195","mean_2200"
"greenland_beta",0.00059063395,0.0009407627,0.001384663,0.0012843991,0.0020553924,0.002485067,0.0025412517,0.0035478335,0.0046408568,0.0051747477,0.007163368,0.006630562,0.008624513,0.00960896,0.009865391,0.010561696,0.0113749495,0.011356626,0.01409195,0.015492227,0.014411807,0.01607851,0.017764721,0.017961985,0.019449614,0.017921057,0.020550685,0.020730987,0.022315282,0.023896443,0.025585635
"glaciers_beta0",0.0009182949,0.00077726826,0.00044528986,0.0005816103,0.00043322876,0.0005091011,0.00054021366,0.0005317874,0.00072804675,0.00059224473,0.00088706455,0.00074402255,0.00097218837,0.0009654324,0.0011990975,0.00088795205,0.0010902735,0.001294417,0.0012808354,0.0018472489,0.001382586,0.0012288028,0.0018626801,0.0017514309,0.0021211547,0.0025825393,0.0019953665,0.0021502697,0.0018038135,0.0023063787,0.0038665603
"glaciers_n",0.00029685398,0.0002729071,0.00030993423,0.00028246283,0.00019948829,0.00020120022,0.0004529339,0.00054798776,0.0007114028,0.00054762507,0.00078538846,0.0009881834,0.0011937751,0.0009139727,0.0008322068,0.0010897632,0.0007835617,0.0011939859,0.001457183,0.001336951,0.002465306,0.0012263292,0.0012881391,0.0018684582,0.0011581632,0.0018432903,0.0013188339,0.0013495994,0.0018599171,0.0019012657,0.0012814928
"anto_alpha",0.0017416447,0.001941778,0.0023497902,0.0025650342,0.0030500046,0.002914155,0.003194303,0.0029736832,0.0039336714,0.004230225,0.0042227614,0.005375692,0.005701942,0.0058836928,0.006721312,0.007072452,0.008161761,0.008489099,0.009789765,0.010120075,0.010914148,0.010466552,0.01142868,0.012339062,0.012922098,0.01349317,0.015092262,0.016514976,0.016490487,0.018380648,0.017305303
"anto_beta",0.007573749,0.0074091232,0.0070806257,0.0070842085,0.0063955267,0.005960363,0.005366668,0.0047658114,0.0040713716,0.0031143944,0.0030224144,0.0020111813,0.0012682384,0.0013790566,0.0013156398,0.0010998205,0.0008978033,0.0007147777,0.0011292759,0.0013024999,0.0011524556,0.0014098432,0.001051493,0.0013277764,0.0012098384,0.0012994623,0.0009338533,0.0011190015,0.0018177603,0.0017796644,0.0013340525
"antarctic_gamma",0.0001606288,0.00027570105,0.00030539435,0.000299806,0.00041206798,0.00029968508,0.00020608287,0.00039769834,0.00023224868,0.0005106732,0.0005448528,0.00055119145,0.00041332043,0.0007015055,0.0011009823,0.0007847016,0.0014111035,0.001199596,0.0012664729,0.0012342517,0.001359656,0.0016123486,0.0021849158,0.0020760451,0.0020392525,0.0015224878,0.0026718925,0.0025546986,0.0037143563,0.0029448373,0.0028207833
"antarctic_alpha",0.0032030877,0.0034135596,0.0033939672,0.0036237466,0.0033874046,0.0037730439,0.0038105533,0.0032825249,0.0034993233,0.0033496872,0.004200057,0.004372861,0.0051698126,0.004528147,0.0050037964,0.0061599626,0.0059722764,0.0062509216,0.007076082,0.0077227363,0.008303502,0.006449857,0.008301872,0.0076400237,0.008994755,0.009016347,0.009227306,0.009522713,0.010259614,0.01106313,0.010745714
"antarctic_mu",0.0004951619,0.000639306,0.0006406245,0.00097222615,0.0011144922,0.0024479094,0.0037561492,0.005242013,0.0066994936,0.008983416,0.010193239,0.013507549,0.014976735,0.016555756,0.019448817,0.021864245,0.024866184,0.02607876,0.028338755,0.032163817,0.033504665,0.035790235,0.03628415,0.03997576,0.04087237,0.043983173,0.045666248,0.048841882,0.05123174,0.05288584,0.05469516
"antarctic_nu",0.00019354903,0.00011831828,0.0001841313,0.00020765171,0.0002558467,0.00023826961,0.00025813095,0.00031031272,0.00036244246,0.00049802,0.0005812819,0.0005549612,0.00083966367,0.0006591568,0.0007466198,0.0012123081,0.0011721712,0.0014698256,0.0022329246,0.0021852797,0.0019784914,0.0025459237,0.0025233456,0.002374712,0.0030085128,0.0026134616,0.003017572,0.0033897378,0.0046886634,0.004895059,0.00432649
"antarctic_precip0",0.052451227,0.05235911,0.053180132,0.052550476,0.052333873,0.052942503,0.048481062,0.04846449,0.0447992,0.044360895,0.043401428,0.043002557,0.039969865,0.04010855,0.04068478,0.04154178,0.039298937,0.037273344,0.043844115,0.040386923,0.038995907,0.0436577,0.04159438,0.04215622,0.0441105,0.048542436,0.04961903,0.049080607,0.05076993,0.04955522,0.05227448
"antarctic_kappa",0.028885113,0.029636364,0.028293371,0.027925314,0.027246146,0.026364254,0.023750825,0.02208346,0.01941449,0.017801644,0.015935304,0.015056369,0.011777831,0.011228209,0.00950173,0.009435345,0.008293357,0.0061328616,0.00827562,0.0059671197,0.005133132,0.006785205,0.004524342,0.005691954,0.0044721607,0.005044808,0.0034681053,0.0036413358,0.0035325333,0.0033922486,0.0050933203
"antarctic_flow0",0.032374542,0.03298941,0.032605886,0.03197655,0.031232513,0.030150909,0.026456593,0.025408655,0.02211469,0.020664904,0.019545661,0.018656706,0.01535376,0.014175949,0.012981221,0.01292445,0.012235655,0.009871098,0.012272789,0.010819839,0.010858448,0.0111184465,0.009670894,0.009192532,0.0075517623,0.008906357,0.0074108643,0.007407411,0.0065740943,0.006915555,0.007931728
"antarctic_runoff_height0",0.0011774027,0.0014233856,0.0019499789,0.002812746,0.003349254,0.0033623604,0.004639286,0.005167458,0.005910932,0.006575081,0.007903553,0.008174516,0.008439484,0.009934746,0.01012803,0.011619295,0.012186517,0.013969086,0.015020246,0.016237896,0.016851282,0.017748652,0.01796652,0.01855801,0.02070574,0.020254398,0.023353277,0.022037916,0.023056384,0.025945716,0.024117168
"antarctic_c",0.0007580212,0.0007749546,0.0007442936,0.0014843298,0.0018282313,0.0017350828,0.0026175138,0.0030385593,0.0031710472,0.0035309112,0.0041818656,0.0046543367,0.004741462,0.005330969,0.005874293,0.0062803794,0.007354256,0.008301696,0.008773857,0.010008389,0.010551524,0.010783828,0.0100296335,0.011434979,0.012500305,0.012108744,0.01394664,0.012293425,0.013550569,0.014518068,0.014824793
"antarctic_bed_height0",0.012622754,0.012397911,0.0124253305,0.012334988,0.011885076,0.0117088575,0.010278709,0.009890326,0.009188437,0.008022991,0.008138747,0.007659726,0.005834523,0.0057025207,0.005521515,0.0044783424,0.005162258,0.0034595206,0.004938865,0.0048598954,0.0038623572,0.004427351,0.0029034596,0.003914553,0.003578998,0.0029387816,0.0019560726,0.0034702027,0.0029224742,0.002506489,0.0038484428
"antarctic_slope",0.04990889,0.049232375,0.050006073,0.04911588,0.047540747,0.046897728,0.04234899,0.04126967,0.0385054,0.03842447,0.035785735,0.035018757,0.029936945,0.03001301,0.0285381,0.02911867,0.026100976,0.02444686,0.027585492,0.024627922,0.025120435,0.027601013,0.026488528,0.025637366,0.024208514,0.027416918,0.025708014,0.0271568,0.026520703,0.026501013,0.027168253
"antarctic_lambda",0.00024973904,0.0005350229,0.0013487902,0.0025421365,0.0055922866,0.009856826,0.015172731,0.02175451,0.02891286,0.035976537,0.043103065,0.050650764,0.058918823,0.065985166,0.07378472,0.08229291,0.08911901,0.09648285,0.106647864,0.1136753,0.120892234,0.12652078,0.13685,0.14148122,0.14931971,0.16031833,0.16528033,0.17013912,0.1802831,0.18840417,0.19289249
"antarctic_temp_threshold",0.001410205,0.0044908975,0.010934406,0.018244961,0.026345795,0.03768206,0.048592824,0.059202503,0.06849325,0.07821327,0.08677623,0.095031686,0.102419846,0.10882157,0.11720635,0.12318921,0.13064767,0.13594969,0.1407301,0.14979199,0.15552749,0.16183084,0.16693105,0.17504165,0.17999858,0.18941054,0.19215137,0.19854003,0.20458601,0.21052724,0.2157332
"lw_random_sample",0.0035120388,0.0042519034,0.0049280557,0.00558973,0.0061178915,0.0068623414,0.0069279983,0.0076203933,0.008378748,0.009087186,0.009300706,0.010502821,0.010734753,0.011364098,0.012960102,0.0129782185,0.013155716,0.014370777,0.014414068,0.015027414,0.015048477,0.014597443,0.015790805,0.014751678,0.016337702,0.016306587,0.017345458,0.018940326,0.018633476,0.018110886,0.019548364
